GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mini-juego-2d,com.example,GameLogic,9,64,2,12,2,13,2,9,0,4
mini-juego-2d,com.example,GameEngine,106,251,15,23,18,53,16,13,1,9
